Магазин,Категория,Название,Цена,Цена без скидки,Ссылка,Изображение
Ригла,Дермакосметика,Левомеколь мазь 40г,291.0,291.0,https://www.rigla.ru/product/levomekol-maz-40g-49549,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/49549-f-a-e-0-fae0a6b453d974fc5abee629c2080e6b83ae84d8_49549.jpeg
Ригла,Дермакосметика,Ацикловир-АКОС мазь 5% 10г,62.5,62.5,https://www.rigla.ru/product/atsiklovir-akos-maz-5-10g-109901,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/0/109901-8-3-9-b-839b7f2ff8e7a63a4fecd4a51f50155668be2c43_109901.jpg
Ригла,Дермакосметика,"Левомеколь мазь для наружного применения 0,04 / г+0,0075 / г 10г",256.0,256.0,https://www.rigla.ru/product/levomekol-maz-dlya-nar-prim-004g00075g-10g-126625,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/2/126625-2-8-4-b-284bb53fa398446b7e5ef16bbb06c14cb244a235_126625.jpeg
Ригла,Дермакосметика,Меновазин раствор для наружного применения спиртовой 40мл,66.5,66.5,https://www.rigla.ru/product/menovazin-r-r-dnaruzh-prim-spirtovoy-40ml-441374,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/441374-e-0-3-b-e03b8d306b38b0973bd79711e8ed4e07d9e7bd97_441374.jpg
Ригла,Дермакосметика,Меновазин раствор для наружного применения спиртовой флакон-устройством 40мл,122.0,122.0,https://www.rigla.ru/product/menovazin-r-r-dnar-prim-spirtovoy-fl-sprey-40ml-4999987,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/4999987-9-3-7-e-937ee0e42ebe765749dae080ca5ca59d4230c60a_4999987.jpg
Ригла,Дермакосметика,Диклофенак гель 5% 100г,689.0,689.0,https://www.rigla.ru/product/diklofenak-akos-gel-5-100g-4476983,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/4476983-a-5-8-5-a5853f07b51b4f7a588b09bcc4bfa7390aee1d9b_4476983.jpg
Ригла,Дермакосметика,"Синафлан мазь 0,025% 15г",171.0,171.0,https://www.rigla.ru/product/sinaflan-maz-0025-15g-93435,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/9/3/93435-4-3-e-b-43ebc418e42703871e75648a2b07d9c0a23b0795_93435.jpg
Ригла,Дермакосметика,Сотрет капсулы 20мг №30,3635.0,3635.0,https://www.rigla.ru/product/sotret-kaps-20mg-no30-85857,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/8/5/85857-4-9-3-0-49301aea5807eb57dea42b427fb427df4a59174c_85857.jpg
Ригла,Дермакосметика,Ацикловир-Белупо крем 5% 10г,84.5,84.5,https://www.rigla.ru/product/atsiklovir-belupo-krem-5-10g-35016,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/5/35016-a-8-e-9-a8e9cdb0761f63f645d3e6b11e32a0ed39d3c17e_35016.jpg
Ригла,Дермакосметика,Теймурова паста 30г,101.0,101.0,https://www.rigla.ru/product/teymurova-pasta-30g-5007020,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/0/5007020-3-8-6-d-386d4555e79541aaa2116779d6089a23ed447837_5007020.jpg
Ригла,Дермакосметика,Вазелин медицинский 30г,67.5,67.5,https://www.rigla.ru/product/vazelin-meditsinskiy-30g-105765,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/0/105765-c-5-6-8-c568d1b982802c33308f3dd7aacac273ded69f9d_105765.jpg
Ригла,Дермакосметика,Добрый аптекарь Супер чистотел 1мл,60.0,75.0,https://www.rigla.ru/product/dobryy-aptekar-super-chistotel-1ml-118635,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/1/118635-d-8-9-c-d89c47f0c255fbcc562b96c92d7bfd1206c92ef7_118635.jpg
Ригла,Дермакосметика,Пенталгин Экстра гель 5% 50г,469.0,469.0,https://www.rigla.ru/product/pentalgin-ekstra-gel-5-50g-103855,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/0/103855-3-7-4-f-374f6fbc282292104280e2adbdad3b8a75ee3d49_103855.jpg
Ригла,Дермакосметика,Тридерм мазь 15г,1431.0,1431.0,https://www.rigla.ru/product/triderm-maz-15g-1867,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/8/1867-6-0-e-b-60eb20ad48e6a03627baf6981e530043b6f9c5e2_1867.jpg
Ригла,Дермакосметика,Клей БФ-6 15г,195.0,195.0,https://www.rigla.ru/product/kley-bf-6-verteks-15g-49953,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/49953-0-0-0-e-000e859291ab3191bcd1417b6cb5b8da3091723e_49953.jpg
Ригла,Дермакосметика,Муравьиный спирт раствор для наружного применения 50мл,45.0,45.0,https://www.rigla.ru/product/muravinyy-spirt-r-r-dlya-naruzhprim-50ml-64620,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/6/4/64620-5-5-5-3-55535ecaf9c18503f02325992684633fefdeaf0d_64620.jpg
Ригла,Дермакосметика,Аммиака Реневал раствор 10% 25мл,178.0,178.0,https://www.rigla.ru/product/ammiaka-reneval-r-r-10-25ml-101531,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/0/101531-1-f-1-0-1f109da0d0899252831fb2a59b50b6bed9476b59_101531.jpg
Ригла,Дермакосметика,Фукорцин раствор для наружного применения 25мл,93.0,93.0,https://www.rigla.ru/product/fukortsin-r-r-dnaruzhprim-25ml-113958,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/1/113958-0-3-a-8-03a8f1ff10ff13164d95a460fb46efe13599962a_113958.jpg
Ригла,Дермакосметика,Ацикловир таблетки 200мг №20,141.0,141.0,https://www.rigla.ru/product/atsiklovir-tab-200mg-no20-49264,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/49264-a-7-0-5-a705b216fb84d84cb0d0263306583b98c3e13110_49264.jpg
Ригла,Дермакосметика,Диклофенак-Акос гель 5% 30г,285.0,285.0,https://www.rigla.ru/product/diklofenak-akos-gel-5-30g-31687,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/1/31687-a-3-2-6-a3268a75f907950bda37f7fd309de64b3c2387cf_31687.jpg
Ригла,Дермакосметика,Метилурациловая мазь 10% 25г,143.0,143.0,https://www.rigla.ru/product/metiluratsilovaya-maz-10-25g-49352,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/49352-2-a-c-9-2ac9147f621bc4620601f65228c8112f2b330db4_49352.jpg
Ригла,Дермакосметика,Вольтарен эмульгель 2% 100г,1261.0,1261.0,https://www.rigla.ru/product/voltaren-emulgel-2-100g-4474584,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/4474584-8-f-8-9-8f89a59de4df54577b2d7dd5d6d5b8684bb08c29_4474584.jpg
Ригла,Дермакосметика,Акридерм мазь 30г,174.0,174.0,https://www.rigla.ru/product/akriderm-maz-30g-4471823,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/4471823-8-3-9-9-83994da14ac5dd621d4fe37913b9a105d17cae0c_4471823.jpg
Ригла,Дермакосметика,Тридерм крем 15г,1451.0,1451.0,https://www.rigla.ru/product/triderm-krem-15g-1866,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/8/1866-1-5-c-d-15cd8d8c82137bb38105c00bafa79b894071ccfc_1866.jpg
Ригла,Дермакосметика,Акридерм крем 30г,183.0,183.0,https://www.rigla.ru/product/akriderm-krem-30g-4166,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/1/4166-4-e-5-b-4e5b10c6d696c8a0061a4ec3a273d3ccee9609d6_4166.jpg
Ригла,Дермакосметика,Хлорофиллипт раствор спиртовой 1% 50мл,415.0,415.0,https://www.rigla.ru/product/khlorofillipt-r-r-spirtovoy-1-50ml-107308,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/0/107308-b-a-2-e-ba2ea6e591e7c6cc550a84dcd3ffd92650ec406f_107308.jpg
Ригла,Дермакосметика,Нурофен Экспресс гель 5% 50г,174.0,174.0,https://www.rigla.ru/product/nurofen-ekspress-gel-5-50g-4455475,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/4455475-4-a-1-c-4a1ced40f2f051cd62c111b6683229edd9b71328_4455475_1.jpeg
Ригла,Дермакосметика,Пантенолспрей аэрозоль для наружного применения 4.63% 130г,775.0,861.0,https://www.rigla.ru/product/pantenolsprey-aer-dnaruzh-prim-463-130g-117850,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/1/117850-6-b-9-4-6b94afd4885161a98ffa69ceb230f285e8912b9b_117850.jpg
Ригла,Дермакосметика,Сотрет капсулы 10мг №30,1949.0,1949.0,https://www.rigla.ru/product/sotret-kaps-10mg-no30-90370,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/9/0/90370-9-e-7-e-9e7e6f70453f6e0ece3c7f685d582fd50fe81bc0_90370.jpg
Ригла,Дермакосметика,Зеркалин раствор для наружного применения 1% 30мл,776.0,776.0,https://www.rigla.ru/product/zerkalin-r-r-dlya-naruzhprim-1-30ml-84324,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/8/4/84324-1-8-d-6-18d6ea1ec71f210403767f803b8aa93de5910154_84324.jpg
Ригла,Дермакосметика,Гидрокортизон мазь для наружного применения 1%15г,86.0,86.0,https://www.rigla.ru/product/gidrokortizon-maz-dlya-nar-prim-115g-120378,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/2/120378-b-6-8-1-b681c2c0a27f2f68ffcd7b6f9fbf245233350822_120378.jpg
Ригла,Дермакосметика,Акнекутан капсулы 16мг №30,3352.0,3352.0,https://www.rigla.ru/product/aknekutan-kaps-16mg-no30-38318,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/8/38318-3-e-f-3-3ef3db945ed999490746ff2744b234cbe11aa712_38318.jpg
Ригла,Дермакосметика,Бепантен мазь 5% 30г,826.0,826.0,https://www.rigla.ru/product/bepanten-maz-dlya-nar-prim-5-tuby-alyuminiyevyye-30g-no1-260,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/2/6/260-8-9-c-9-89c9315ef1d3884ff3f14e5f37b8bbe28f02b5a1_260.jpg
Ригла,Дермакосметика,Д-Пантенол мазь для наружного применения 5% 25г №1,358.0,358.0,https://www.rigla.ru/product/d-pantenol-maz-dlya-naruzhn-prim-5-25g-no1-4980583,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/4980583-6-f-1-4-6f14310dcefa817d8cdb3d29f29958098e6a2917_4980583.jpg
Ригла,Дермакосметика,Метилурацил мазь для наруж.применения 10% 25г,81.5,81.5,https://www.rigla.ru/product/metiluratsil-maz-dlya-naruzhprimeneniya-10-25g-4999832,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/4999832-9-a-d-3-9ad3842ba659ee9abf99c99556c393a5e79147e6_4999832.jpg
Ригла,Дермакосметика,"Циндол суспензия наружн. 12,5% 125г",223.0,223.0,https://www.rigla.ru/product/tsindol-susp-naruzhn-125-125g-5007144,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/0/5007144-a-0-7-d-a07df33ace4dd1b8a77d6ef3143d8fc81220be59_5007144.jpg
Ригла,Дермакосметика,Вазелин Реневал мазь 30г туба,131.0,131.0,https://www.rigla.ru/product/vazelin-reneval-maz-30g-tuba-128009,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/2/128009-0-f-3-a-0f3af7bc2c191a854282be3f5ea5fcd915e01ded_128009.jpg
Ригла,Дермакосметика,Зовиракс крем для наружного применения 5% 5г,234.0,234.0,https://www.rigla.ru/product/zoviraks-krem-dlya-naruzhprim-5-5g-72619,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/7/2/72619-7-1-e-a-71ea87b5b5bfa8e7b9891ed890393eb9b9fd2623_72619.jpg
Ригла,Дермакосметика,"Аэртал крем для наружного применения 1,5% 60г",614.0,614.0,https://www.rigla.ru/product/aertal-krem-dlya-naruzhprim-15-60g-91114,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/9/1/91114-5-5-6-d-556db44347a41ef8d69a775f197cae2210c637ac_91114.jpg
Ригла,Дермакосметика,Псило-бальзам гель 20г,531.0,531.0,https://www.rigla.ru/product/psilo-balzam-gel-20g-3408,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/4/3408-2-3-f-b-23fbfc6b46d3532569c30b773c2e278e06b66704_3408.jpg
Ригла,Дермакосметика,Траумель С мазь 50г,1020.0,1020.0,https://www.rigla.ru/product/traumel-s-maz-50g-1855,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/8/1855-9-3-3-a-933a537f9327ae35b1c6f31fba1ca1a66f9f5615_1855.jpg
Ригла,Дермакосметика,Бепантен мазь 100г,1541.0,1541.0,https://www.rigla.ru/product/bepanten-maz-100g-89079,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/8/9/89079-9-f-7-8-9f78a273f3728e2ca4a73a53d5e792c728668687_89079.jpg
Ригла,Дермакосметика,Д-Пантенол Новатенол мазь 5% 25г,452.0,452.0,https://www.rigla.ru/product/novatenol-maz-5-25g-110200,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/1/110200-2-f-c-8-2fc819f45603867a8550dd8b2df611c5fff13c00_110200.jpg
Ригла,Дермакосметика,Камфорный спирт раствор для наружного применения 10% 40мл,49.0,49.0,https://www.rigla.ru/product/kamfornyy-spirt-r-r-dlya-naruzhprim-10-40ml-50753,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/0/50753-2-7-1-4-2714a978b5eb02d74bc23c6d11c422c1c00d1469_50753.jpg
Ригла,Дермакосметика,Целестодерм-В крем 30г,401.0,401.0,https://www.rigla.ru/product/tselestoderm-v-krem-30g-2027,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/2/0/2027-a-3-b-6-a3b601bd55e7007b2dbbe4581d1e8193b2ef51b7_2027_1.jpeg
Ригла,Дермакосметика,Акридерм крем 15г,110.0,110.0,https://www.rigla.ru/product/akriderm-krem-15g-3344,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/3/3344-e-0-0-7-e0075f9a014824448f20b7dab9a27a67f304f952_3344.jpg
Ригла,Дермакосметика,Акнекутан капсулы 8мг №30,2341.0,2341.0,https://www.rigla.ru/product/aknekutan-kaps-8mg-no30-38319,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/8/38319-8-d-9-b-8d9b9bb0c3342355049da4cd2f8e46fbdb1d9715_38319.jpg
Ригла,Дермакосметика,Целестодерм-В мазь 30г,393.0,393.0,https://www.rigla.ru/product/tselestoderm-v-maz-30g-2029,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/2/0/2029-5-f-0-b-5f0b8249d6d5cb46a594a2eddf876db8900043a8_2029.jpeg
Ригла,Дермакосметика,Акридерм ГК крем 30г,1418.0,1575.0,https://www.rigla.ru/product/akriderm-gk-krem-30g-100568,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/0/100568-a-0-4-f-a04fe2cc913a5526d16493a0b5309a6419e85aff_100568.jpg
Ригла,Дермакосметика,Долгит крем 100г,259.0,259.0,https://www.rigla.ru/product/dolgit-krem-100g-3292,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/2/3292-e-4-2-4-e424bba8542d538cb5420725d7832473747b752d_3292.jpg
Ригла,Дермакосметика,Бепантен мазь 5% 50г,1115.0,1115.0,https://www.rigla.ru/product/bepanten-maz-5-50g-102650,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/0/102650-e-7-8-9-e789f011c773575926556e3eeb62176915afbf8d_102650.jpg
Ригла,Дермакосметика,Нурофен Экспресс гель 5% 100г,348.0,348.0,https://www.rigla.ru/product/nurofen-ekspress-gel-5-100g-90207,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/9/0/90207-6-5-7-f-657f7e69197cbeb08404440d908efeedac7bedfa_90207_1.jpeg
Ригла,Дермакосметика,Эффезел гель 1мг/г+25мг/г 30г,2628.0,2628.0,https://www.rigla.ru/product/effezel-gel-1mgg25mgg-30g-84426,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/8/4/84426-9-7-1-6-971699c9eec1f836a9fcfe9926fe0bbd81ae0d91_84426.jpg
Ригла,Дермакосметика,Азелик гель 15% 30г,1379.0,1379.0,https://www.rigla.ru/product/azelik-gel-15-30g-87661,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/8/7/87661-6-c-f-b-6cfbcda599c7719e2e0f55dd9f93f3be6d549ffb_87661.jpg
Ригла,Дермакосметика,"Синафлан мазь 0,025% 15г",78.0,78.0,https://www.rigla.ru/product/sinaflan-maz-0025-15g-98142,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/9/8/98142-1-c-2-c-1c2cc128aea637d19cb47f16ee4dafc877c53df3_98142.jpg
Ригла,Дермакосметика,Хлорофиллипт раствор масляный 2% 20мл,262.0,262.0,https://www.rigla.ru/product/khlorofillipt-r-r-masl-2-20ml-49560,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/49560-3-7-2-e-372e311aa7133fe3c1efd2037ff7fef744481dbf_49560.jpg
Ригла,Дермакосметика,Спасатель бальзам 30г,288.0,288.0,https://www.rigla.ru/product/spasatel-balzam-30g-52666,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/2/52666-b-2-5-6-b2560c3087048d10516e89d7313d112fb317a68d_52666.jpg
Ригла,Дермакосметика,Камфорное масло 10% 30мл,60.0,60.0,https://www.rigla.ru/product/kamfornoye-maslo-10-30ml-91096,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/9/1/91096-b-2-e-b-b2eb976e2c9c58b3ffac19725fd26c27f981c7c3_91096.jpg
Ригла,Дермакосметика,Бепантен крем 5% 100г,1661.0,1661.0,https://www.rigla.ru/product/bepanten-krem-dlya-nar-prim-5-tuba-100g-88214,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/8/8/88214-4-5-f-c-45fc5c68b1924e6e6f0f9fcf3180164f75a3756f_88214.jpg
Ригла,Дермакосметика,Базирон АС гель 5% 40г,1711.0,1711.0,https://www.rigla.ru/product/baziron-as-gel-5-40g-3463,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/4/3463-a-8-e-d-a8ed7d1e6329b398cf9fd882ab52f964ec0fd0f9_3463.jpg
Ригла,Дермакосметика,Салицилово-цинковая паста 25г,51.0,51.0,https://www.rigla.ru/product/salitsilovo-tsinkovaya-pasta-25g-95989,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/9/5/95989-e-3-8-8-e388245c4d7eeb50e5f1bb7d2af40804f2593f8d_95989.jpg
Ригла,Дермакосметика,Бепантен плюс крем 5% 30г,963.0,963.0,https://www.rigla.ru/product/bepanten-plyus-krem-dlya-naruzhnogo-primeneniya-tuby-alyuminiyevyye-30g-no1-2833,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/2/8/2833-3-1-a-4-31a414ce58a138b35d933ceb837dcd132158ff23_2833.jpg
Ригла,Дермакосметика,Клензит С гель 30г,1871.0,1871.0,https://www.rigla.ru/product/klenzit-s-gel-30g-59914,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/9/59914-6-b-0-a-6b0a447a1a8a9b7bbade5291acb0a6e6336395f2_59914.jpg
Ригла,Дермакосметика,Вольтарен трансдермальный пластырь 30мг/сутки №2,610.0,610.0,https://www.rigla.ru/product/voltaren-transdermalnyy-plastyr-30mgsutki-no2-88159,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/8/8/88159-3-5-2-d-352dd6ffa1b3828adf328e7e8953a759d0a51eb2_88159.jpg
Ригла,Дермакосметика,Розамет (метронидазол) крем 1% 25г,570.0,570.0,https://www.rigla.ru/product/rozamet-metronidazol-krem-1-25g-3365,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/3/3365-8-9-c-7-89c7873b58dd18ba34c3c7dcb8ba7428b4e37064_3365.jpg
Ригла,Дермакосметика,"Цинокап крем для наружного применения 0,2% 25г",748.0,748.0,https://www.rigla.ru/product/tsinokap-krem-dlya-naruzhprim-02-25g-70240,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/7/0/70240-b-1-e-c-b1ec56f33f2660d7bcf8d8fcf0138d7ae169de48_70240.jpg
Ригла,Дермакосметика,Формидрон раствор для наружного применения 100мл,85.5,85.5,https://www.rigla.ru/product/formidron-r-r-dnaruzhprim-100ml-81565,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/8/1/81565-4-a-7-6-4a7688dbc75b3e77929e9b90e232ad0ce3481844_81565.jpg
Ригла,Дермакосметика,Пантенол Фармстандарт пена для наружного применения 5% 58г,355.0,355.0,https://www.rigla.ru/product/pantenol-farmstandart-pena-dlya-nar-prim-5-58g-128397,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/2/128397-8-d-e-0-8de090eaaa743527cbb2d6b98acbc32d5d697055_128397.jpg
Ригла,Дермакосметика,"Фастум гель 2,5% 50г",633.0,633.0,https://www.rigla.ru/product/fastum-gel-25-50g-1925,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/9/1925-9-5-7-6-9576c1466e17908e9d0c999e6a507f5677dda2df_1925.jpg
Ригла,Дермакосметика,Радевит Актив мазь 35г,801.0,801.0,https://www.rigla.ru/product/radevit-aktiv-maz-35g-94245,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/9/4/94245-b-a-3-d-ba3d92dceb259182b05a57c3a85d78d27f425401_94245.jpg
Ригла,Дермакосметика,"Адаклин крем для наружного применения 0,1% 30г",1227.0,1227.0,https://www.rigla.ru/product/adaklin-krem-dlya-naruzhprim-01-30g-90375,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/9/0/90375-8-f-8-c-8f8c6dc34262160dbd72db8aac64ee93b9cb22e8_90375.jpg
Ригла,Дермакосметика,Ортофен мазь 2% 50г,209.0,209.0,https://www.rigla.ru/product/ortofen-maz-2-50g-37026,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/7/37026-f-6-8-e-f68e6f525cf619ad31bc1e865cfd019a053a881e_37026.jpg
Ригла,Дермакосметика,Валацикловир-АКОС таблетки покрытые оболочкой пленочной 500мг № 10,905.0,905.0,https://www.rigla.ru/product/valatsiklovir-akos-tabpo-plen-500mg-no10-107733,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/0/107733-7-5-0-8-75084300f2b4e3188bc878253949688c85076763_107733.jpg
Ригла,Дермакосметика,Бепантен крем 5% 30г,677.0,677.0,https://www.rigla.ru/product/bepanten-krem-dlya-nar-prim-5-tuby-alyuminiyevyye-30g-no1-258,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/2/5/258-3-a-b-c-3abc80d5434684583d922103d57b4770cc49e46b_258.jpg
Ригла,Дермакосметика,Бен-гей крем для наружного применения 50г,661.0,661.0,https://www.rigla.ru/product/ben-gey-krem-dlya-naruzhprim-50g-75635,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/7/5/75635-7-9-8-1-79815b52b82647cc964285221df3a8c3abd1ae1d_75635.jpg
Ригла,Дермакосметика,"Адвантан крем 0,1% 15г",926.0,926.0,https://www.rigla.ru/product/advantan-krem-01-15g-16,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/6/16-0-b-3-2-0b3234ac9aa85d04296357389524bceef7322e49_16.jpeg
Ригла,Дермакосметика,Карипазим лиофилизат порошок 350ПЕ 10мл №1,145.0,145.0,https://www.rigla.ru/product/karipazim-liof-dlya-prig-r-ra-dlya-nar-prim-350pe-fl-no1-49951,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/49951-0-3-4-f-034f8de1cb8259c3e89da9802eb4420621d42f5c_49951.jpg
Ригла,Дермакосметика,"Кетонал гель 2,5% 50г",545.0,545.0,https://www.rigla.ru/product/ketonal-gel-dlya-nar-prim-25-tuba-50g-32922,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/2/32922-5-2-a-3-52a3e8edb43716371d18eca5f8fc4eefd4a51c2b_32922.jpg
Ригла,Дермакосметика,Акридерм ГК мазь 30г,1124.0,1249.0,https://www.rigla.ru/product/akriderm-gk-maz-30g-100569,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/0/100569-0-d-7-e-0d7e5bebd56f776b94e6b4ea8a25a30ef544e6ad_100569.jpg
Ригла,Дермакосметика,Гиоксизон мазь 10г,128.0,128.0,https://www.rigla.ru/product/gioksizon-akrikhin-maz-10mg30mgg-10g-47671,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/7/47671-f-2-7-6-f27603540e2f9cb39351bed391d9f7e9efd9c955_47671.jpg
Ригла,Дермакосметика,Диклоран Плюс гель 30г,547.0,547.0,https://www.rigla.ru/product/dikloran-plyus-gel-30g-3042451,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/0/3042451-0-d-1-2-0d12fd817025ae4b52ff167a4685928b66b12737_3042451.jpg
