Магазин,Категория,Название,Цена,Цена без скидки,Ссылка,Изображение
Ригла,Дермакосметика,Димексид с насадкой распыл дез средство раствор 50% 150мл № 1,129.0,129.0,https://www.rigla.ru/product/dimeksid-s-nasadkoy-raspyl-dez-sredstvo-r-r-50-150ml-no1-5128152,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/1/5128152-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Боро фреш ластик голд травяной крем для ухода за кожей тела 30мл,212.0,212.0,https://www.rigla.ru/product/boro-fresh-lastik-gold-travyanoy-krem-dlya-ukhoda-za-kozhey-tela-30ml-446766,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/446766-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Чайное дерево ДН масло для мест.и наружного применения фл / кап. 20мл,428.0,428.0,https://www.rigla.ru/product/chaynoye-derevo-dn-maslo-dmesti-nar-prim-flkap-20ml-5000876,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/0/5000876-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Чистотел пчелинный крем-гель 10мл,288.0,288.0,https://www.rigla.ru/product/chistotel-pchelinnyy-krem-gel-10ml-34080,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/4/34080-e-2-c-6-e2c6b16252b687a50a06bc1465fc7c79436162dc_34080.jpg
Ригла,Дермакосметика,Клинзол ЗД гель для наружного применения 1% 30г,497.0,497.0,https://www.rigla.ru/product/klinzol-zd-gel-dnaruzhprim-1-30g-122885,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/2/122885-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Глицерин раствор для наружного применения 25г,45.0,45.0,https://www.rigla.ru/product/glitserin-r-r-dnaruzhprim-25g-61236,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/6/1/61236-b-d-5-7-bd570fea9a00bce7f36b2558312bdb81e0485581_61236.jpg
Ригла,Дермакосметика,"Зеркалин интенсив гель для наружного применения 0,05+0,01 / г 25г",1001.0,1001.0,https://www.rigla.ru/product/zerkalin-intensiv-gel-dlya-naruzhprim-005001g-25g-119220,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/1/119220-3-4-a-5-34a506066a25568da27e2902e6cfe3397d51361e_119220.jpg
Ригла,Дермакосметика,Статин гемостатическая присыпка 1г №5,120.0,120.0,https://www.rigla.ru/product/statin-gemostaticheskaya-prisypka-1g-no5-86726,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/8/6/86726-0-3-4-4-0344f7df26166406f59fa36b34e53a775777ded2_86726.jpg
Ригла,Дермакосметика,Декспантенол мазь 5% 100г,772.0,772.0,https://www.rigla.ru/product/dekspantenol-verteks-maz-dlya-nar-prim-tuba-5-100g-106691,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/0/106691-0-f-2-2-0f22d42f252b931d751d2ab0ac338ca167772bfc_106691.jpg
Ригла,Дермакосметика,Виалайн Пантенол устройством флакон 58г,397.0,397.0,https://www.rigla.ru/product/vialayn-pantenol-sprey-fl-58g-4990554,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/4990554-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
